Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2905;Lechfeld;TT_TU;19.07.2004-12:00;19.07.2004-12:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;12.10.2004-22:00;12.10.2004-22:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;14.10.2004-07:00;14.10.2004-16:00;10;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;25.10.2004-07:00;25.10.2004-07:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;12.11.2004-22:00;12.11.2004-22:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;16.12.2004-20:00;16.12.2004-20:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;28.12.2004-10:00;28.12.2004-12:00;3;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;30.12.2004-00:00;30.12.2004-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;04.01.2005-01:00;04.01.2005-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;27.01.2005-23:00;28.01.2005-03:00;5;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;08.02.2005-12:00;08.02.2005-19:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.02.2005-03:00;17.02.2005-03:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;18.02.2005-00:00;18.02.2005-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;23.02.2005-02:00;23.02.2005-02:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;28.02.2005-08:00;28.02.2005-08:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;04.03.2005-01:00;04.03.2005-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;23.03.2005-11:00;23.03.2005-11:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;06.04.2005-06:00;06.04.2005-06:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;14.05.2005-00:00;14.05.2005-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;06.06.2005-08:00;06.06.2005-08:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;11.06.2005-11:00;11.06.2005-18:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;18.06.2005-11:00;18.06.2005-18:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;09.07.2005-11:00;09.07.2005-18:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;16.07.2005-11:00;16.07.2005-18:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;23.07.2005-11:00;23.07.2005-18:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;26.07.2005-13:00;26.07.2005-14:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;29.07.2005-23:00;29.07.2005-23:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;07.08.2005-11:00;07.08.2005-18:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;14.08.2005-09:00;14.08.2005-09:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;14.08.2005-19:00;15.08.2005-04:00;10;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;16.08.2005-23:00;16.08.2005-23:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;19.08.2005-19:00;20.08.2005-04:00;10;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;20.08.2005-19:00;21.08.2005-04:00;10;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;24.08.2005-13:00;24.08.2005-14:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;25.08.2005-14:00;25.08.2005-14:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;25.08.2005-19:00;25.08.2005-19:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;26.08.2005-05:00;26.08.2005-05:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;27.08.2005-11:00;27.08.2005-18:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;04.09.2005-11:00;04.09.2005-18:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;10.09.2005-20:00;10.09.2005-20:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.09.2005-19:00;18.09.2005-04:00;10;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;24.09.2005-11:00;24.09.2005-18:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;28.09.2005-22:00;28.09.2005-22:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;03.10.2005-11:00;03.10.2005-11:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;07.10.2005-19:00;07.10.2005-19:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.10.2005-07:00;17.10.2005-07:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;29.10.2005-14:00;29.10.2005-14:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;31.10.2005-17:00;31.10.2005-17:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;01.11.2005-08:00;01.11.2005-08:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;02.11.2005-04:00;02.11.2005-04:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;03.11.2005-21:00;03.11.2005-21:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;08.11.2005-10:00;08.11.2005-10:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;09.11.2005-07:00;09.11.2005-07:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;30.11.2005-12:00;30.11.2005-12:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;30.11.2005-15:00;30.11.2005-15:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;01.12.2005-10:00;01.12.2005-11:00;2;;eor;                                                                                                                                           
